source,target,date,type,FATALITIES,LATITUDE,LOCATION,LONGITUDE,NOTES,记录数,YEAR
Islamist Militia,Civilians,2002/7/18,Violence against civilians,1,36.6371,Chabet El Ameur,3.6947,"A communal guard was killed Thursday night in Douar Ouled Ali, near Chabet El-Ameur, by armed Islamists who emerged from a nearby forest before firing point blank at the victim who was attending a party wedding",1,2002
Unidentified Armed Group,Civilians,2002/4/25,Violence against civilians,1,36.7254,Thenia,3.5567,A former policeman was killed Thursday at Thenia in southeastern Batna region.,1,2002
Unidentified Armed Group,Civilians,2002/8/20,Violence against civilians,1,36.365,Constantine,6.6147,"Near the northeastern city of Constantine, 430 kilometers (260 miles) east of Algiers, a taxi driver was killed and his passenger injured when unknown assailants opened fire on the vehicle they were travelling in.",1,2002
Unidentified Armed Group,Civilians,2002/1/14,Violence against civilians,1,35.3758,Tiaret,1.3131,"In the village of El Karroucha, in the volatile Tiaret region some 340 kilometres (205 miles) southwest of the capital, an armed group on Monday slit the throat of a shepherd taking care of his herd.",1,2002
Unidentified Armed Group,Civilians,2002/2/2,Violence against civilians,1,35.3758,Tiaret,1.3131,A soldier was killed while riding in his car between Mechraa Rahouia Sfa and near Tiaret ( 340 km southeast of Algiers) .,1,2002
Islamist Militia,Civilians,2002/7/1,Violence against civilians,2,36.3055,Miliana,2.2248,"A couple was killed Monday night by armed Islamists in Hammama, an isolated hamlet of Miliana region (120 km west of Algiers). The attackers first attacked using a bomb, to remove the door of the house, before killing the victims with bullets a",1,2002
Islamist Militia,Civilians,2002/1/3,Violence against civilians,2,36.38,Bouira,3.9014,"An off-duty soldier soldier and a police officer were among passengers on a bus that was stopped Thursday night at a roadblock near Bouira, some 120 kilometers (75 miles) southeast of the capital Algiers, on Thursday. An armed group boarded the",1,2002
Islamist Militia,Civilians,2002/8/25,Violence against civilians,2,36.1653,Chlef,1.3345,"Armed extremists slit the throats of two young men and wounded another in an ambush along a remote stretch of road in northwest Algeria: the incident occured overnight on Sunday near Chlef, some 200 kilometres (124 miles) west of the capital Al",1,2002
Unidentified Armed Group,Civilians,2002/9/5,Violence against civilians,3,36.3055,Miliana,2.2248,"Three people were killed by another armed group in the hamlet of Sidi Brahim, near Miliana, in the region of Aien Defla, residents who were not able to provide details about the number of attackers or their identity.",1,2002
Islamist Militia,Civilians,2002/1/4,Violence against civilians,3,35.3758,Tiaret,1.3131,Three shepherds were killed and two others abducted Friday night by an armed Islamist group in a forest near Tiaret (340 km southwest of Algiers). Both GIA and GSPC operating in the area; unknown which perpetrated the attack.,1,2002
Unidentified Armed Group,Civilians,2002/9/5,Violence against civilians,4,36.0663,Boukadir,1.126,"Four people, including two children, were killed in the attack by an armed group of an isolated hamlet near Boukadir in the Chlef region. Two girls were also kidnapped.",1,2002
Islamist Militia,Civilians,2002/3/19,Violence against civilians,4,35.7494,Lardjem,1.5483,Four men were killed Tuesday by an armed group in Lardjem near Tissemsilt (280 km west of Algiers). They were killed with a knife by a group of armed Islamists whose number has not been determined.,1,2002
Islamist Militia,Civilians,2002/3/7,Violence against civilians,6,36.4701,El Affroun,2.6253,"Six people have been killed by armed Islamic extremists near the town of El Affroun, 50 kilometers (30 miles) south of the Algerian capital. The victims were shot dead Thursday when the public transport vehicle they were travelling in was stopp",1,2002
Islamist Militia,Civilians,2002/5/8,Violence against civilians,10,36.7525,Algiers,3.042,Ten civilians were killed in an ambush by armed Islamists Wednesday 15 kilometres (nine miles) south of Algiers.,1,2002
Islamist Militia,Civilians,2003/10/28,Violence against civilians,1,36.8778,Cap Djinet,3.7205,"A former municipal guard answering to the name of Djabri Messaoud and who was 61 years old was assassinated the day before yesterday 28 October , Tuesday, at about 1500 hours local time by a militant group not far from Cap Djinet 30 kilometres",1,2003
Islamist Militia,Civilians,2003/11/10,Violence against civilians,1,36.8558,Sidi Daoud,3.8567,A militant group set up a false roadblock. Several drivers returning home on this road were ordered to stop. The passenger of one of the vehicles was identified as being a young soldier. He was dragged onto the road side and then killed in cold,1,2003
Unidentified Armed Group,Civilians,2003/1/9,Violence against civilians,1,33.3789,Ghassoul,1.2031,"One person was killed Thursday night by an armed group near Ghassoul in the region of El Bayadh (600 km southwest of Algiers), according to several newspapers. The victim, a nomad, was killed while guarding his flock in a remote area",1,2003
Islamist Militia,Civilians,2003/5/4,Violence against civilians,2,36.2675,Medea,2.75,number of Islamists. It is unknown whether the GIA or GSPC is responsible.,1,2003
Unidentified Armed Group,Civilians,2003/3/14,Violence against civilians,2,36.8164,Ksir Beni Zid,6.4997,"During the night of Friday to Saturday 14 to 15 March , the Chaaba village - some 10 km from Beni Zid Municipality, in Skikda Province - was attacked by armed men. Displaying a list of names of several village youths, the militants proceeded to",1,2003
Islamist Militia,Civilians,2006/7/19,Violence against civilians,0,36.7938,Bouchtata Mahmoud,6.7973,"a group of 10 or so armed militants raided a small town, taking food and money - hamlet of Ma Lahlou not far from Bouchetata",1,2006
Islamist Militia,Civilians,2006/7/2,Violence against civilians,0,36.535,Draa El Mizan,3.8336,"militants set up a fake road block, stop and rob civilians, and set fire to a public transit vehicle, no injuries reported",1,2006
Islamist Militia,Civilians,2006/1/8,Violence against civilians,4,35.6667,Theniet El Had,1.8167,"Four employees of a water company killed on the road near Thenient El-Had in the Tissemsilt region, about 300 kilometers (185 miles) southeast of the capital Algiers by an armed Islamist group",1,2006
Islamist Militia,Civilians,2007/9/26,Violence against civilians,0,36.6906,Souk El Had,3.5891,a businessman who was a native of Tizi Ghennif [80 km to the east of Algiers] was abducted this past Wednesday by an armed group in Touzaline,1,2007
Unidentified Armed Group,Civilians,2008/11/8,Violence against civilians,1,36.7118,Tizi Ouzou,4.0459,An armed group killed a trader.,1,2008
Islamist Militia,Civilians,2008/4/5,Violence against civilians,1,36.8886,Tigzirt,4.1198,in a fake roadblock,1,2008
Unidentified Armed Group,Civilians,2010/8/22,Violence against civilians,2,35.7058,MSila,4.5419,Two civilians were found with their throats slit at the hands a suspected militant organization.,1,2010
Unidentified Armed Group,Civilians,2011/11/2,Violence against civilians,1,36.7853,Zemmouri,3.6036,"A repentant militant was killed on the night between Wednesday and Thursday [2 to 3 November] by a group of gunmen near the town of Haj Ahmed in the municipality of Zemmouri, 12 km east of Boumerdes Province.",1,2011
Unidentified Armed Group,Civilians,2011/11/29,Violence against civilians,1,36.7483,Ain Kechra,6.4323,"An ambulance driver was assassinated by a militant group on 29 November in Oued Zegguer, in Ain Kechra, more than 70 kilometres west of Skikda.",1,2011
Unidentified Armed Group,Civilians,2011/8/18,Violence against civilians,1,36.7118,Tizi Ouzou,4.0459,"The driver for a local police chief, a road transport operator and a hospital worker are killed when they are ambushed by an unnamed terror group.",1,2011
Unidentified Armed Group,Civilians,2011/8/18,Violence against civilians,3,36.5833,Maatka,4,"A group of militants, who attempted to abduct a young man on 18 August in the village of El Bir village, Mouaatka in northern province of Tizi Ouzou, attacked and killed three villagers who tried to rescue the kidnapped man.",1,2011
Unidentified Armed Group,Civilians,2014/9/30,Violence against civilians,0,36.6371,Chabet El Ameur,3.6947,A militant groupÊraided the village of Imouthass in the neighbouring Chabet El Ameur municipality. No other details were reported.,1,2014
Unidentified Armed Group,Civilians (International),2016/4/20,Violence against civilians,0,32.49094,Ghardaia,3.67347,"Near the central town of Ghardaia, unidentified attackers threw molotov cocktails and fired bullets against a bus carrying immigrants. Some of the passengers were injured in the attack.",1,2016
Unidentified Armed Group,Civilians (International),2016/4/20,Violence against civilians,0,32.4909,Ghardaia,3.6735,"Near the central town of Ghardaia, unidentified attackers threw molotov cocktails and fired bullets against a bus carrying immigrants. Some of the passengers were injured in the attack.",1,2016
Unidentified Armed Group,Civilians,2016/11/14,Violence against civilians,3,36.12139,Bordj Emir Khaled,2.20444,"Three people, two of whom were soldiers, had their throats cut early Monday morning in a fake road block in Ain Defla. The two soldiers were headed back to their barrack late on Sunday night aboard a taxi when they stopped at what they initially thought was a security checkpoint. They were, however, surprised by an armed group that set the vehicle on fire. The attack also claimed the life of a civilian. The incident occurred between Bir Ould Khelifa and Tariq Ibn Zyad.",1,2016
Unidentified Armed Group,Civilians,2016/11/14,Violence against civilians,3,36.1214,Bordj Emir Khaled,2.2044,"Three people, two of whom were soldiers, had their throats cut early Monday morning in a fake road block in Ain Defla. The two soldiers were headed back to their barrack late on Sunday night aboard a taxi when they stopped at what they initiall",1,2016
Unidentified Armed Group,Private Security Forces,2002/1/5,Battle-No change of territory,1,35.1939,Sidi Bel Abbes,-.6414,An armed civilian guard was killed in the southwestern desert near Sidi Bel Abbes. Perpetrators unknown.,1,2002
Zintan Ethnic Militia (Libya),Military Forces of Algeria (1999-),2014/4/28,Battle-No change of territory,0,26.5048,Illizi,8.4812,One member of the Zintan based Qaqa Brigade was detained and another injured after the two men unknowingly crossed intoÊAlgeriaÊand ran into a border patrol.,1,2014
Ouled Embarek Clan Militia,Ouled Embarek Clan Militia,2016/11/17,Battle-No change of territory,0,34.89694,Taguine,2.30917,"Several people were injured in clashes that erupted on Thursday in Zmalet Emir Abdelkader, Tiaret province. The clashes involved armed men from Ouled Embarek tribe and were sparked after a member of the community began to work in a field contested by another community group.",1,2016
Ouled Embarek Clan Militia,Ouled Embarek Clan Militia,2016/11/17,Battle-No change of territory,0,34.8969,Taguine,2.3092,"Several people were injured in clashes that erupted on Thursday in Zmalet Emir Abdelkader, Tiaret province. The clashes involved armed men from Ouled Embarek tribe and were sparked after a member of the community began to work in a field contes",1,2016
Police Forces of Algeria (1999-),Civilians,2001/4/18,Violence against civilians,1,36.61954,Beni Douala,4.08282,A Berber student was shot while in police custody at a police station in Beni Douala. He later died on Apr.21.,1,2001
Rioters,Police Forces of Algeria (1999-),2001/4/19,Riots/Protests,0,36.71183,Tizi Ouzou,4.04591,"Riots were reported in numerous villages in Kabylie, resulting in dozens wounded in clashes between protesters and police and significant material damage.",1,2001
Rioters,Police Forces of Algeria (1999-),2001/4/21,Riots/Protests,0,36.64022,Amizour,4.90131,"Rioters threw molotov cocktails, rocks and burning tires at gendarmerie stations in Beni Douala, El-Kseur and Amizour.",1,2001
Rioters,Police Forces of Algeria (1999-),2001/4/21,Riots/Protests,0,36.61954,Beni Douala,4.08282,"Rioters threw molotov cocktails, rocks and burning tires at gendarmerie stations in Beni Douala, El-Kseur and Amizour.",1,2001
Rioters,Police Forces of Algeria (1999-),2001/4/21,Riots/Protests,0,36.67942,El Kseur,4.8555,"Rioters threw molotov cocktails, rocks and burning tires at gendarmerie stations in Beni Douala, El-Kseur and Amizour.",1,2001
Rioters,Police Forces of Algeria (1999-),2001/4/22,Riots/Protests,0,36.64022,Amizour,4.90131,"Protesters attacked a gendarmerie detachment with rocks and set fire to two gendarmerie vehicle as well as the Daira, registry office and court buildings.",1,2001
Rioters,Police Forces of Algeria (1999-),2001/4/23,Riots/Protests,1,36.71183,Tizi Ouzou,4.04591,Five people were killed in 3 days of rioting across the Kabyle region after a student died in police custody in Beni Douala. Protesters threw stones and set fire to public buildings.,1,2001
Rioters,Police Forces of Algeria (1999-),2001/4/24,Riots/Protests,2,36.71183,Tizi Ouzou,4.04591,Five people were killed in 3 days of rioting across the Kabyle region after a student died in police custody in Beni Douala. Protesters threw stones and set fire to public buildings.,1,2001
Rioters,Police Forces of Algeria (1999-),2001/4/25,Riots/Protests,0,36.56667,Barbacha,4.96667,"Clashes between police and protesters werereported in Sidi Aich, El Kseur, Tazmalt, Barbacha, Seddouk and Timezrit. Various arson attacks were reported.",1,2001
Rioters,Police Forces of Algeria (1999-),2001/4/25,Riots/Protests,0,36.67942,El Kseur,4.8555,"Clashes between police and protesters werereported in Sidi Aich, El Kseur, Tazmalt, Barbacha, Seddouk and Timezrit. Various arson attacks were reported.",1,2001
Rioters,Police Forces of Algeria (1999-),2001/4/25,Riots/Protests,0,36.5472,Seddouk,4.6861,"Clashes between police and protesters werereported in Sidi Aich, El Kseur, Tazmalt, Barbacha, Seddouk and Timezrit. Various arson attacks were reported.",1,2001
Rioters,Police Forces of Algeria (1999-),2001/4/25,Riots/Protests,0,36.60927,Sidi Aich,4.69125,"Clashes between police and protesters werereported in Sidi Aich, El Kseur, Tazmalt, Barbacha, Seddouk and Timezrit. Various arson attacks were reported.",1,2001
Rioters,Police Forces of Algeria (1999-),2001/4/25,Riots/Protests,0,36.38682,Tazmalt,4.39886,"Clashes between police and protesters werereported in Sidi Aich, El Kseur, Tazmalt, Barbacha, Seddouk and Timezrit. Various arson attacks were reported.",1,2001
Rioters,Police Forces of Algeria (1999-),2001/4/25,Riots/Protests,0,36.67294,Timezrit,3.80647,"Clashes between police and protesters werereported in Sidi Aich, El Kseur, Tazmalt, Barbacha, Seddouk and Timezrit. Various arson attacks were reported.",1,2001
Rioters,Police Forces of Algeria (1999-),2001/4/25,Riots/Protests,2,36.71183,Tizi Ouzou,4.04591,Five people were killed in 3 days of rioting across the Kabyle region after a student died in police custody in Beni Douala. Protesters threw stones and set fire to public buildings.,1,2001
Rioters,Police Forces of Algeria (1999-),2001/4/26,Riots/Protests,7,36.71183,Tizi Ouzou,4.04591,15 people were killed between Apr.25-26 in a continuation of rioting from earlier this week across the Kabyle region following the death of a student in police custody in Beni Douala. Protesters threw stones and set fire to public buildings.,1,2001
Rioters,Police Forces of Algeria (1999-),2001/4/27,Riots/Protests,8,36.71183,Tizi Ouzou,4.04591,15 people were killed between Apr.25-26 in a continuation of rioting from earlier this week across the Kabyle region following the death of a student in police custody in Beni Douala. Protesters threw stones and set fire to public buildings.,1,2001
Rioters,Police Forces of Algeria (1999-),2001/4/28,Riots/Protests,3,36.75,Bejaia,5.0833,"9 people were killed, including a police officer, and 19 injured in clashes between Berber protesters and police in Tizi Ouzou and villages around it, as well as Bejaia, following the death of a student in police custody. 29 people have been killed since Monday in rioting across the region.",1,2001
Unidentified Armed Group,Police Forces of Algeria (1999-),2001/4/28,Battle-No change of territory,40,35.40417,Tebessa,8.12417,Betwee 40-60 security personnel were killed in a clash with an unidentified group to the south of Tebessa.,1,2001
Rioters,Police Forces of Algeria (1999-),2001/4/28,Riots/Protests,3,36.71183,Tizi Ouzou,4.04591,"9 people were killed, including a police officer, and 19 injured in clashes between Berber protesters and police in Tizi Ouzou and villages around it, as well as Bejaia, following the death of a student in police custody. 29 people have been killed since Monday in rioting across the region.",1,2001
Rioters,Police Forces of Algeria (1999-),2001/4/28,Riots/Protests,3,36.71183,Tizi Ouzou,4.04591,"9 people were killed, including a police officer, and 19 injured in clashes between Berber protesters and police in Tizi Ouzou and villages around it, as well as Bejaia, following the death of a student in police custody. 29 people have been killed since Monday in rioting across the region.",1,2001
Rioters,Police Forces of Algeria (1999-),2001/4/29,Riots/Protests,7,36.75,Bejaia,5.0833,"Berber protesters and police fought running battles in Tizi Ouzou and Bejaia. At least 13 were killed on Apr.28. At least 42 people reported killed and over 400 injured in total, mostly police, since Apr.23 according to official figures.",1,2001
Rioters,Police Forces of Algeria (1999-),2001/4/29,Riots/Protests,6,36.71183,Tizi Ouzou,4.04591,"Berber protesters and police fought running battles in Tizi Ouzou and Bejaia. At least 13 were killed on Apr.28. At least 42 people reported killed and over 400 injured in total, mostly police, since Apr.23 according to official figures.",1,2001
Protesters,Police Forces of Algeria (1999-),2001/5/3,Riots/Protests,0,35.6911,Oran,-.6417,Students demonstrated in Oran despite significant police presence.,1,2001
Rioters,Police Forces of Algeria (1999-),2001/5/22,Riots/Protests,0,36.63333,Aokas,5.25,"Sporadic protests and clashes were reported, centring mainly in the Bejaia region, including youths barricading roads with trees and tires set on fire. Dozens of people were said to have been injured, although officially there were no injuries. The protests took place in El Keur, Oued Ghir, Bakaro, Tichy, Soul El Thenine, Bordj Mira, Kerrata, and Aokas.",1,2001
Rioters,Police Forces of Algeria (1999-),2001/5/22,Riots/Protests,0,36.75,Bejaia,5.0833,"Sporadic protests and clashes were reported, centring mainly in the Bejaia region, including youths barricading roads with trees and tires set on fire. Dozens of people were said to have been injured, although officially there were no injuries. The protests took place in El Keur, Oued Ghir, Bakaro, Tichy, Soul El Thenine, Bordj Mira, Kerrata, and Aokas.",1,2001
Rioters,Police Forces of Algeria (1999-),2001/5/22,Riots/Protests,0,36.54832,Bordj Mira,5.27758,"Sporadic protests and clashes were reported, centring mainly in the Bejaia region, including youths barricading roads with trees and tires set on fire. Dozens of people were said to have been injured, although officially there were no injuries. The protests took place in El Keur, Oued Ghir, Bakaro, Tichy, Soul El Thenine, Bordj Mira, Kerrata, and Aokas.",1,2001
Rioters,Police Forces of Algeria (1999-),2001/5/22,Riots/Protests,0,36.495,Kherrata,5.2808,"Sporadic protests and clashes were reported, centring mainly in the Bejaia region, including youths barricading roads with trees and tires set on fire. Dozens of people were said to have been injured, although officially there were no injuries. The protests took place in El Keur, Oued Ghir, Bakaro, Tichy, Soul El Thenine, Bordj Mira, Kerrata, and Aokas.",1,2001
Rioters,Police Forces of Algeria (1999-),2001/5/22,Riots/Protests,0,36.70991,Oued Ghir,4.97862,"Sporadic protests and clashes were reported, centring mainly in the Bejaia region, including youths barricading roads with trees and tires set on fire. Dozens of people were said to have been injured, although officially there were no injuries. The protests took place in El Keur, Oued Ghir, Bakaro, Tichy, Soul El Thenine, Bordj Mira, Kerrata, and Aokas.",1,2001
Rioters,Police Forces of Algeria (1999-),2001/5/22,Riots/Protests,0,36.62656,Souk el Tenine,5.33388,"Sporadic protests and clashes were reported, centring mainly in the Bejaia region, including youths barricading roads with trees and tires set on fire. Dozens of people were said to have been injured, although officially there were no injuries. The protests took place in El Keur, Oued Ghir, Bakaro, Tichy, Soul El Thenine, Bordj Mira, Kerrata, and Aokas.",1,2001
Rioters,Police Forces of Algeria (1999-),2001/5/22,Riots/Protests,0,36.66667,Tichy,5.16667,"Sporadic protests and clashes were reported, centring mainly in the Bejaia region, including youths barricading roads with trees and tires set on fire. Dozens of people were said to have been injured, although officially there were no injuries. The protests took place in El Keur, Oued Ghir, Bakaro, Tichy, Soul El Thenine, Bordj Mira, Kerrata, and Aokas.",1,2001
Rioters,Police Forces of Algeria (1999-),2001/5/23,Riots/Protests,1,36.55844,Ferraoun,4.86459,A youth was killed when a group of protesters attacked a police station in Feraoun.,1,2001
Rioters,Police Forces of Algeria (1999-),2001/5/25,Riots/Protests,1,36.61675,Bouzeguene,4.47938,A high school student was shot and killed during clashes between protesters and police in the Bouzegene area.,1,2001
Rioters,Police Forces of Algeria (1999-),2001/5/25,Riots/Protests,1,36.71183,Tizi Ouzou,4.04591,A police officer was killed during clashes between protesters and police in the Tizi Ouzou area.,1,2001
Rioters,Police Forces of Algeria (1999-),2001/5/25,Riots/Protests,0,36.71183,Tizi Ouzou,4.04591,"Protests and clashes continued across the Kabyle region against poverty, unemployment and government policies in the region.",1,2001
Rioters,Police Forces of Algeria (1999-),2001/5/26,Riots/Protests,1,36.71909,Cheurfa,4.37823,One person was killed and 7 injured in clashes beween protesters and police in Cheurfa in the Tizi Ouzou area.,1,2001
Rioters,Police Forces of Algeria (1999-),2001/5/26,Riots/Protests,1,36.71183,Tizi Ouzou,4.04591,"Riots were reported in towns near Cheurfa, where a youth was killed in clashes between protesters and police.",1,2001
Rioters,Police Forces of Algeria (1999-),2001/5/28,Riots/Protests,0,36.74472,Azazga,4.37222,"Youths took to the streets in Azazga, Karbaa Nath Irathen and Tizi Ouzou, leading to sporadic scuffles reported between protesters and police.",1,2001
Rioters,Police Forces of Algeria (1999-),2001/5/28,Riots/Protests,0,36.63112,Larbaa Nait Irathen,4.19864,"Youths took to the streets in Azazga, Karbaa Nath Irathen and Tizi Ouzou, leading to sporadic scuffles reported between protesters and police.",1,2001
Police Forces of Algeria (1999-),Civilians,2001/5/28,Violence against civilians,2,36.71183,Tizi Ouzou,4.04591,"The Liberte Daily reported that 2 more deaths due to rioting had occurred on Monday. Both were allegedly shot by police, although the locations of the shootings were not reported.",1,2001
Rioters,Police Forces of Algeria (1999-),2001/5/28,Riots/Protests,0,36.71183,Tizi Ouzou,4.04591,"Youths took to the streets in Azazga, Karbaa Nath Irathen and Tizi Ouzou, leading to sporadic scuffles reported between protesters and police.",1,2001
Rioters,Police Forces of Algeria (1999-),2001/5/29,Riots/Protests,0,36.56566,Ain El Hammam,4.28401,"Clashes between police and protesters erupted in Ain El Hammam, Iferhounene, and Beni Douala.",1,2001
Rioters,Police Forces of Algeria (1999-),2001/5/29,Riots/Protests,0,36.61954,Beni Douala,4.08282,"Clashes between police and protesters erupted in Ain El Hammam, Iferhounene, and Beni Douala.",1,2001
Rioters,Police Forces of Algeria (1999-),2001/5/29,Riots/Protests,0,36.53419,Iferhounene,4.36972,"Clashes between police and protesters erupted in Ain El Hammam, Iferhounene, and Beni Douala.",1,2001
Rioters,Police Forces of Algeria (1999-),2001/5/29,Riots/Protests,0,36.71183,Tizi Ouzou,4.04591,Youths clashed with security forces in Tizi Ouzou during protests against the government despit the replacement of police in the area after a number of deaths during protests in April. Numerous roads were barricaded by protesters while police used tear gas to attempt to disperse them.,1,2001
GIA: Armed Islamic Group,Civilians,2001/5/30,Violence against civilians,3,36.26405,Ain Defla,1.9679,The Liberte Daily reported that 3 civilians were killed by suspected GIA militants at a road block near Ain Delfa.,1,2001
Military Forces of Algeria (1999-),GIA: Armed Islamic Group,2001/5/30,Battle-No change of territory,6,36.1914,Setif,5.4094,The El Watan newspaper reported that 6 militants were killed by security forces in the Setif region.,1,2001
Rioters,Police Forces of Algeria (1999-),2001/5/30,Riots/Protests,0,36.71183,Tizi Ouzou,4.04591,"Thousands of doctors, nurses and medical workers marched in Tizi Ouzou over the security forces handling of unrest in the region, specifically violence against demonstrators and rioters. Some clashes between police and protesters were reported at the end of the march.",1,2001
Rioters,Police Forces of Algeria (1999-),2001/6/7,Riots/Protests,0,36.7525,Algiers,3.04197,Police used clubs and water cannons to disperse thousands of people in Algiers who demonstrated despite the protest being banned by Algerian authorities. Protesters threw stones at police and denounced the handling of recent unrest in the Kabyle region.,1,2001
GIA: Armed Islamic Group,Bordj Emir Khaled Communal Militia,2001/6/7,Battle-No change of territory,6,36.12139,Bordj Emir Khaled,2.20444,A local newspaper reported that 6 members of a local self-defense group were killed by militants as they patrolled in the Bordj Emir Khaled area.,1,2001
Rioters,Police Forces of Algeria (1999-),2001/6/9,Riots/Protests,0,36.74831,Ain Kechra,6.43226,"Recent unrest in the Kabyle region has spread to the Aures area, with several days of demonstrations reported in Sour el Ghozlane, Sidi Amar, Ain Kercha and Khencella. Clashes between demonstrators and police were reported and with some arrests made.",1,2001
Rioters,Police Forces of Algeria (1999-),2001/6/9,Riots/Protests,0,35.43583,Khenchela,7.14333,"Recent unrest in the Kabyle region has spread to the Aures area, with several days of demonstrations reported in Sour el Ghozlane, Sidi Amar, Ain Kercha and Khencella. Clashes between demonstrators and police were reported and with some arrests made.",1,2001
Rioters,Police Forces of Algeria (1999-),2001/6/9,Riots/Protests,0,36.8137,Sidi Amar,7.72985,"Recent unrest in the Kabyle region has spread to the Aures area, with several days of demonstrations reported in Sour el Ghozlane, Sidi Amar, Ain Kercha and Khencella. Clashes between demonstrators and police were reported and with some arrests made.",1,2001
Rioters,Police Forces of Algeria (1999-),2001/6/9,Riots/Protests,0,36.14766,Sour el Ghozlane,3.69123,"Recent unrest in the Kabyle region has spread to the Aures area, with several days of demonstrations reported in Sour el Ghozlane, Sidi Amar, Ain Kercha and Khencella. Clashes between demonstrators and police were reported and with some arrests made.",1,2001
